AÑO;CODIGO AYUNTAMIENTO;NOMBRE AYUNTAMIENTO;CODIGO CALLE;NOMBRE CALLE;CALIFICACION;NRO MULTAS;IMPORTE PAGADO;IMPORTE PENDIENTE DE PAGO EN EJECUTIVA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2020;80;ZUMARRAGA;;;MUY GRAVE;2;120;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2020;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2020;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;LEVE;113;1162,25;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2020;80;ZUMARRAGA;1120;EUSKADI ENPARANTZA;GRAVE;2;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2020;80;ZUMARRAGA;1120;EUSKADI ENPARANTZA;LEVE;57;480;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2020;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;GRAVE;5;400;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2020;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;LEVE;15;120;80,4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2020;80;ZUMARRAGA;1140;JAI-ALAI KALEA;LEVE;18;145;39,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2020;80;ZUMARRAGA;1150;LEGAZPI KALEA;GRAVE;2;0;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2020;80;ZUMARRAGA;1150;LEGAZPI KALEA;LEVE;78;685;163,8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2020;80;ZUMARRAGA;1160;PIEDAD KALEA;GRAVE;10;500;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2020;80;ZUMARRAGA;1160;PIEDAD KALEA;LEVE;154;1473,9;405;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2020;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;GRAVE;7;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2020;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;LEVE;115;1059,45;160,8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2020;80;ZUMARRAGA;1180;SORALUCE KALEA;LEVE;37;375;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2020;80;ZUMARRAGA;1190;UROLA KALEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2020;80;ZUMARRAGA;1190;UROLA KALEA;LEVE;1;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2020;80;ZUMARRAGA;1191;ZELAI-ARIZTI PARKEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2020;80;ZUMARRAGA;1191;ZELAI-ARIZTI PARKEA;LEVE;194;1385,4;27,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2020;80;ZUMARRAGA;1210;BELOKI HIRIBIDEA;GRAVE;3;200;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2020;80;ZUMARRAGA;1210;BELOKI HIRIBIDEA;LEVE;3;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2020;80;ZUMARRAGA;1220;BIDEZAR KALEA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2020;80;ZUMARRAGA;1220;BIDEZAR KALEA;LEVE;117;834,45;242,7;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2020;80;ZUMARRAGA;1230;TXURRUKA KALEA;LEVE;4;45;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2020;80;ZUMARRAGA;1240;ELIZKALE;GRAVE;11;834,95;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2020;80;ZUMARRAGA;1240;ELIZKALE;LEVE;48;459,45;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2020;80;ZUMARRAGA;1250;KALEBARREN;GRAVE;4;100;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2020;80;ZUMARRAGA;1250;KALEBARREN;LEVE;7;84,45;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2020;80;ZUMARRAGA;1260;NAFARROA ENPARANTZA;LEVE;1;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2020;80;ZUMARRAGA;1270;OKENDO KALEA;LEVE;2;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;1310;ARTIZ AUZOA;LEVE;3;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2020;80;ZUMARRAGA;1310;ARTIZ AUZOA;MUY GRAVE;1;500;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2020;80;ZUMARRAGA;1330;ISLAS FILIPINAS KALEA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2020;80;ZUMARRAGA;1350;URDANETA HIRIBIDEA;GRAVE;4;200;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2020;80;ZUMARRAGA;1350;URDANETA HIRIBIDEA;LEVE;19;195;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2020;80;ZUMARRAGA;1420;HIRI LORATEGIA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2020;80;ZUMARRAGA;1430;ESTEBAN ORBEGOZO IBILALDIA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;1430;ESTEBAN ORBEGOZO IBILALDIA;LEVE;27;225;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;1440;EUSKALERRIA HIRIBIDEA;GRAVE;2;100;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2020;80;ZUMARRAGA;1440;EUSKALERRIA HIRIBIDEA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2020;80;ZUMARRAGA;1520;ARGIXAO AUZOA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2020;80;ZUMARRAGA;1520;ARGIXAO AUZOA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;1540;LETURIATARREN ENPARANTZA;GRAVE;7;100;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;1540;LETURIATARREN ENPARANTZA;LEVE;18;30;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2020;80;ZUMARRAGA;1610;ANTZIÑE HIRIBIDEA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2020;80;ZUMARRAGA;1620;BUSKA SAGASTIZABAL PARKEA;LEVE;1;40,95;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2020;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2020;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;LEVE;22;120;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2020;80;ZUMARRAGA;1650;SAN ISIDRO KALEA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2020;80;ZUMARRAGA;1670;ELGARRESTAMENDI KALEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2020;80;ZUMARRAGA;1710;ETXEBERRI AUZOA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2020;80;ZUMARRAGA;7001;IPAR HAIZEA AUZOA;LEVE;7;95,95;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2020;80;ZUMARRAGA;7003;IZAZPI AUZOA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;7003;IZAZPI AUZOA;LEVE;1;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;7008;EITZA BERRI;LEVE;2;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2020;80;ZUMARRAGA;7211;ELKANO KALEA;GRAVE;3;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2020;80;ZUMARRAGA;7211;ELKANO KALEA;LEVE;25;175,95;80,4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2020;80;ZUMARRAGA;7212;IBAIONDO;LEVE;5;45;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2020;80;ZUMARRAGA;7213;ESKUALDEKO OSPITALEA;GRAVE;23;1315;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2020;80;ZUMARRAGA;7213;ESKUALDEKO OSPITALEA;LEVE;84;990;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2020;80;ZUMARRAGA;7214;ANTIO;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
